DATE	WELL	QOIL	QWAT	QGAS	BHP
2016-01-28	WELL1B	7613.911384	4.271008719	2728.298049	1740.089496
2016-02-27	WELL1B	8283.204288	4.271008719	2769.325089	1740.089496
2016-03-28	WELL1B	8149.108812	4.271008719	2835.807861	1740.089496
2016-04-27	WELL1B	7913.435399	4.271008719	2775.819753	1667.276794
2016-05-27	WELL1B	7765.386078	9.590295116	2774.453825	1667.276794
2016-06-26	WELL1B	8118.015083	8.754562159	2788.576985	1667.276794
2016-07-26	WELL1B	8397.929337	9.854518383	2939.816816	1667.276794
2016-08-25	WELL1B	7902.147839	9.854518383	2670.370204	1667.276794
2016-09-24	WELL1B	7969.276259	3.45207057	2826.775725	1667.276794
2016-10-24	WELL1B	7985.210011	7.83130114	2802.089559	1608.380269
2016-11-23	WELL1B	8094.623289	4.11348573	2790.570013	1608.380269
2016-12-23	WELL1B	7820.996522	4.11348573	2808.775399	1608.380269
2017-01-22	WELL1B	7648.933315	4.11348573	2733.956139	1608.380269
2017-02-21	WELL1B	8266.280523	10.21736482	2880.782463	1608.380269
2017-03-23	WELL1B	7931.549492	4.697080097	2662.702895	1608.380269
2017-04-22	WELL1B	8345.099723	4.697080097	2790.441024	1608.380269
2017-05-22	WELL1B	8041.275071	3.741595944	2802.562819	1754.685575
2017-06-21	WELL1B	8260.020842	0.464560899	2938.909047	1754.685575
2017-07-21	WELL1B	7958.081694	0.464560899	2825.782862	1754.685575
2017-08-20	WELL1B	8248.29963	10.07563325	2886.582612	1754.685575
2017-09-19	WELL1B	7732.951763	10.07563325	2693.70952	1754.685575
2017-10-19	WELL1B	7691.299442	3.721593649	2732.758409	1754.685575
2017-11-18	WELL1B	7778.511668	3.721593649	2741.667645	1712.009091
2017-12-18	WELL1B	8033.567528	5.455764134	2722.598997	1712.009091
2018-01-17	WELL1B	7832.874616	8.310581285	2937.9707	1712.009091
2018-02-16	WELL1B	7619.168042	8.782723126	2892.26118	1712.009091
2018-03-18	WELL1B	8077.102187	1.872362382	2688.689457	1712.009091
2018-04-17	WELL1B	7906.312741	1.872362382	2750.108728	1712.009091
2018-05-17	WELL1B	8313.855512	5.720991315	2885.837551	1720.051045
2018-06-16	WELL1B	8335.336525	5.720991315	2693.107546	1720.051045
2018-07-16	WELL1B	8332.070335	8.660683423	2853.783525	1720.051045
2018-08-15	WELL1B	7851.311282	8.660683423	2700.989721	1720.051045
2018-09-14	WELL1B	8305.824663	8.660683423	2780.71278	1720.051045
2018-10-14	WELL1B	8057.142988	8.660683423	2775.418977	1720.051045
2018-11-13	WELL1B	7849.389795	0.728663098	2802.034778	1720.051045
2018-12-13	WELL1B	8113.072923	0.728663098	2936.391	1720.051045
2011-02-01	WELL2				
2011-03-04	WELL2				
2011-04-04	WELL2				
2011-05-05	WELL2				
2011-06-05	WELL2				
2011-07-06	WELL2				
2011-08-06	WELL2				
2011-09-06	WELL2				
2011-10-07	WELL2				
2011-11-07	WELL2				
2011-12-08	WELL2	6669.878461	5.711882399	2365.447203	2266.661718
2012-01-08	WELL2	6449.78856	5.711882399	2165.650173	2266.661718
2012-02-08	WELL2	6806.718405	55.415092	2380.543761	2266.661718
2012-03-10	WELL2	6430.111241	55.415092	2309.876807	2266.661718
2012-04-10	WELL2	6223.935618	55.415092	2264.887548	2266.661718
